circID,Beta,StdErr,Pval,BH_adjPval
circ10021,5.399244999244294e-4,0.0042547922651853445,0.8993280742560202,0.9827708852694653
circ10022,5.399244999244294e-4,0.0042547922651853445,0.8993280742560202,0.9827708852694653
circ10052,0.024148155152870502,0.017288962617707477,0.16621594564317854,0.7513038554751993
circ10149,7.388253561594914e-5,0.007725207181989703,0.992392237730098,1
circ10162,0.010538445456568133,0.007295955898573729,0.15238458710728803,0.7409525795125014
circ1026,0.014728323546303813,0.00762965474361028,0.056971652303122,0.6578079735136376
circ10321,0.011737523463006041,0.00646713867367628,0.07314413791220806,0.7045474145497497
circ10323,-0.016558267100312343,0.013392872186736644,0.21981605293304435,0.7716480053363823
circ10360,0.003324306891907691,0.005776445518989909,0.5665145749354703,0.909856741563028
circ10362,0.011589483319615587,0.009044237697921608,0.20361398730841104,0.7716480053363823
circ1045,0.009061110584814215,0.023084358133620222,0.6956790268034763,0.9366755687768398
circ1048,0.013814906640470383,0.021740658224417078,0.5268888915879424,0.8906877237700902
circ10504,0.039659743956808186,0.01694679425171583,0.021671453004438266,0.6202204212480197
circ10529,-0.012009462686497,0.013151267889255854,0.3637933607132824,0.8452411764392322
circ1057,0.02029417328178242,0.010906053370918798,0.0663109289450504,0.686528638116453
circ10646,-2.2775412255248302e-4,0.004360305271374666,0.9584681283093939,0.9960551137332917
circ10662,-0.0010973049050483565,0.004559161674053136,0.8103956536153407,0.9647003984984427
circ10674,0.0015797518045238977,0.0036804008109397523,0.6688653445749321,0.9366755687768398
circ10701,0.0029328477063628655,0.005843852766191927,0.6170885116946829,0.9286118080942806
circ10729,-0.006834906329841032,0.014676755933876604,0.6426528513117871,0.9366755687768398
circ10779,0.0022106585131404276,0.009313571011837204,0.8129633146400215,0.9647003984984427
circ10833,0.010044125379083073,0.006505821627725526,0.1264248574597577,0.7117141091694561
circ10848,0.008112751134875484,0.004366311122858407,0.06670985823207043,0.686528638116453
circ10921,-0.016288911477935982,0.010821870112988317,0.1360728369862829,0.7211860360272992
circ10931,0.0046806554278347795,0.006626667326693099,0.4819571401109102,0.8840822159864296
circ10934,0.010215190577124687,0.007030223000756048,0.14998324322290194,0.7409525795125014
circ11040,0.003572127114836902,0.005641395616452697,0.5283444506221265,0.8906877237700902
circ11043,0.0031952508073562077,0.003955346077170461,0.42149714150498807,0.870018248671684
circ11111,7.196264832366208e-4,0.0023364341114772294,0.7588523957112064,0.9547326019048328
circ1112,0.012111925773311402,0.020320756382555236,0.5527724314406333,0.9051679003536066
circ11125,0.004535950049709005,0.004998432502478958,0.3667831562668934,0.8452411764392322
circ11152,0.007744083739958984,0.00949516238474163,0.41707357519668553,0.8668588033499739
circ11178,0.001983501486753214,0.0015430451108113389,0.20221154577690426,0.7716480053363823
circ11207,-0.00355178018153271,0.007965325392933398,0.6568267460963497,0.9366755687768398
circ11225,0.0021345387717994274,0.005259744023828876,0.6859150650221503,0.9366755687768398
circ11233,-0.009393479561085277,0.009978298536567261,0.34923647617542386,0.8452411764392322
circ11254,0.009325977060766542,0.009428035384419066,0.32545246295553454,0.8452411764392322
circ1131,0.0021738278407650597,0.0019414856681729744,0.26608308647257456,0.824369180271871
circ11311,0.037976561285113626,0.03772882109608656,0.31706871308208256,0.844628293467569
